time,open,high,low,close,volume,gold_close,gold_high,gold_low,gold_open,gold_volume,usd_close,usd_high,usd_low,usd_open,usd_volume
2025-04-21 23:00:00+00:00,87113.0,87568.5,86990.5,87466.5,4534,3445.300048828125,3455.89990234375,3440.199951171875,3442.39990234375,0.0,98.24500274658203,98.31999969482422,98.12000274658203,98.13999938964844,0.0
2025-04-22 00:00:00+00:00,87466.0,87697.5,87044.5,87673.0,5865,3436.199951171875,3446.300048828125,3423.89990234375,3445.300048828125,15454.0,98.24500274658203,98.31999969482422,98.12000274658203,98.13999938964844,0.0
2025-04-22 01:00:00+00:00,87575.5,88830.0,87472.0,88419.0,20464,3462.60009765625,3464.60009765625,3431.800048828125,3436.10009765625,19223.0,98.22000122070312,98.2750015258789,98.17500305175781,98.23999786376953,528.0
2025-04-22 02:00:00+00:00,88369.5,88623.0,87865.5,88140.5,6587,3482.699951171875,3485.89990234375,3452.39990234375,3462.5,16443.0,98.0250015258789,98.22000122070312,98.01499938964844,98.20999908447266,864.0
2025-04-22 03:00:00+00:00,88142.0,88237.0,87779.0,88111.5,6946,3497.60009765625,3504.199951171875,3481.199951171875,3482.699951171875,17241.0,97.8949966430664,98.0199966430664,97.8550033569336,98.01000213623047,1823.0
2025-04-22 04:00:00+00:00,88124.5,88327.0,87990.5,88009.5,3662,3493.89990234375,3497.89990234375,3488.699951171875,3497.39990234375,9383.0,97.92500305175781,97.94499969482422,97.8550033569336,97.9000015258789,702.0
2025-04-22 05:00:00+00:00,88001.5,88367.0,87911.5,88347.5,3075,3503.60009765625,3504.89990234375,3482.300048828125,3494.0,12902.0,97.81999969482422,98.0199966430664,97.79000091552734,97.91500091552734,975.0
2025-04-22 06:00:00+00:00,88344.5,88420.5,87945.5,88196.0,2829,3489.89990234375,3509.89990234375,3484.699951171875,3503.800048828125,21321.0,98.1500015258789,98.18000030517578,97.80000305175781,97.81999969482422,2235.0
2025-04-22 07:00:00+00:00,88220.0,88446.0,88122.0,88435.0,6003,3479.5,3491.199951171875,3471.199951171875,3489.699951171875,19374.0,98.13500213623047,98.26000213623047,98.08499908447266,98.13999938964844,1691.0
2025-04-22 08:00:00+00:00,88439.0,88621.5,88275.0,88364.0,2762,3455.5,3483.800048828125,3454.10009765625,3479.699951171875,16930.0,98.16999816894531,98.22000122070312,98.08000183105469,98.12999725341797,1173.0
2025-04-22 09:00:00+00:00,88364.0,88558.0,88275.5,88532.0,3929,3466.699951171875,3470.5,3455.300048828125,3455.60009765625,13112.0,98.19999694824219,98.2300033569336,98.11000061035156,98.18000030517578,1272.0
2025-04-22 10:00:00+00:00,88440.5,88554.5,88194.5,88472.0,4817,3463.699951171875,3480.39990234375,3462.60009765625,3466.800048828125,12477.0,98.22000122070312,98.2249984741211,98.12999725341797,98.21499633789062,316.0
2025-04-22 11:00:00+00:00,88464.5,88649.5,88429.5,88572.5,12824,3468.60009765625,3473.39990234375,3459.5,3463.60009765625,9275.0,98.20999908447266,98.25,98.12000274658203,98.2300033569336,810.0
2025-04-22 12:00:00+00:00,88573.0,89194.5,88441.5,88936.0,12520,3442.89990234375,3476.60009765625,3435.5,3468.5,26712.0,98.33000183105469,98.3949966430664,98.18000030517578,98.20500183105469,2267.0
2025-04-22 13:00:00+00:00,88958.0,90458.0,88911.5,90183.0,36143,3430.89990234375,3462.0,3419.0,3443.10009765625,43113.0,98.31500244140625,98.43000030517578,98.25499725341797,98.32499694824219,2231.0
2025-04-22 14:00:00+00:00,90220.5,90883.5,89970.0,90744.0,22812,3442.89990234375,3452.199951171875,3430.0,3431.0,22214.0,98.29000091552734,98.40499877929688,98.19999694824219,98.31500244140625,1717.0
2025-04-22 15:00:00+00:00,90785.0,91362.0,90352.0,90878.0,27143,3429.300048828125,3446.199951171875,3422.10009765625,3442.699951171875,19389.0,98.36000061035156,98.36000061035156,98.2300033569336,98.29000091552734,1129.0
2025-04-22 16:00:00+00:00,90873.5,90975.5,90566.0,90626.5,5907,3405.0,3432.60009765625,3383.199951171875,3429.199951171875,49331.0,98.59500122070312,98.61000061035156,98.32499694824219,98.34500122070312,3639.0
2025-04-22 17:00:00+00:00,90666.5,91437.5,90620.0,91344.0,13039,3414.199951171875,3422.60009765625,3398.10009765625,3405.300048828125,23365.0,98.50499725341797,98.62999725341797,98.4749984741211,98.59500122070312,3073.0
2025-04-22 18:00:00+00:00,91378.0,91583.0,91095.0,91449.5,8271,3393.199951171875,3414.800048828125,3384.5,3414.199951171875,12200.0,98.68499755859375,98.71499633789062,98.50499725341797,98.50499725341797,1615.0
2025-04-22 19:00:00+00:00,91450.0,91620.0,90913.5,91405.5,6076,3387.60009765625,3398.0,3379.10009765625,3393.5,10804.0,98.73999786376953,98.76000213623047,98.6500015258789,98.69499969482422,891.0
2025-04-22 20:00:00+00:00,91371.0,91439.5,91000.5,91054.5,3063,3392.0,3395.199951171875,3386.0,3387.699951171875,3607.0,98.74500274658203,98.76000213623047,98.68000030517578,98.73999786376953,0.0
2025-04-22 21:00:00+00:00,91054.5,93938.0,90999.5,92928.5,44346,3364.8499755859375,3381.5,3351.0,3377.699951171875,1803.5,98.7975025177002,98.91000175476074,98.74875068664551,98.8799991607666,385.25
2025-04-22 22:00:00+00:00,92999.0,93259.5,92509.5,92720.0,8708,3337.699951171875,3367.800048828125,3316.0,3367.699951171875,0.0,98.85000228881836,99.06000137329102,98.81750106811523,99.02000045776367,770.5
2025-04-22 23:00:00+00:00,92792.0,93802.0,92750.5,93405.0,7394,3346.199951171875,3359.39990234375,3336.60009765625,3338.0,11086.0,98.90250205993652,99.21000099182129,98.88625144958496,99.16000175476074,1155.75
2025-04-23 00:00:00+00:00,93404.5,93860.0,92746.0,92842.0,5196,3376.699951171875,3380.5,3343.699951171875,3346.10009765625,13417.0,98.95500183105469,99.36000061035156,98.95500183105469,99.30000305175781,1541.0
2025-04-23 01:00:00+00:00,92896.0,93456.5,92561.0,92614.0,3829,3388.800048828125,3396.0,3367.89990234375,3376.800048828125,21306.0,98.87000274658203,99.05000305175781,98.81500244140625,98.95500183105469,1369.0
2025-04-23 02:00:00+00:00,92600.0,93224.5,92570.0,92822.5,3489,3363.60009765625,3389.60009765625,3357.89990234375,3388.699951171875,13249.0,98.91000366210938,99.0,98.8499984741211,98.86499786376953,825.0
2025-04-23 03:00:00+00:00,92773.5,93149.5,92650.5,93122.5,2480,3349.10009765625,3365.199951171875,3339.199951171875,3363.800048828125,14206.0,99.08499908447266,99.125,98.8949966430664,98.90499877929688,979.0
